
"Saturday, 26 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"SIENNA SPIRO","Great Expectation"
2,"Imael Angel","Bad Times (Extended Version)"
3,"Imael Angel","BAD TIMES"
4,"Ofek Adanek","נתתי לך בית"
5,"Odeya","פאפית"
6,"KAROL G, Judeline & rusowsky","BbY WOW"
7,"Roei Adam","אבי הטחול"
8,"Mika Moshe","מזל שאתה פה"
9,"Osher Cohen","דאון"
10,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
11,"Quavo & Takeoff","HOTEL LOBBY (Unc & Phew) [A COLORS SHOW]"
12,"Zusha","Don’t Leave Me On My Own"
13,"Wxoda","Vibin"
14,"Bar Tzabari","ילדה מטורפת"
15,"Tame Impala","Loser"
16,"Prince & The Revolution","Purple Rain"
17,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
18,"Sapir Saban","נהיה בסדר"
19,"Roei Adam","קילומטר קדימה"
20,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
21,"Bronski Beat","Smalltown Boy"
22,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
23,"BLOK3","Sebebi Yar"
24,"Stilla & Ness","מונולוג"
25,"Hateomim","אם לא את"
26,"Dudu Tassa & גלגלצ","בית ביפו (Mita Gami & Darco Remix (מיוחד למצעד השנתי תשפ״ו))"
27,"Temper City","Self Aware"
28,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
29,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
30,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
31,"Eviatar Banai","פעימת לב"
32,"Noa Kirel","לאב סונג"
33,"The Avihu Pinhasov Rhythm Club","משום"
34,"Agam Buhbut","חמישי"
35,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
36,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
37,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
38,"Peer Tasi & Hanan Ben Ari","הלוואי"
39,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
40,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
41,"GENER8ION & Yung Lean","STORM II"
42,"Steve Lacy","oh yeah?"
43,"Bar Tzabari & Shuli Rand","המלך בשדה"
44,"ADÉLA","Nicole Kidman"
45,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
46,"Noam Bettan, Agam Buhbut & גלגלצ","מדאם + המבט בעיניך"
47,"KATSEYE","Animal"
48,"Akcent","Stay with Me"
49,"Benaia Barabi","לילה טוב"
50,"Adele","Lovesong"
51,"Empire Of The Sun","We Are The People"
52,"Odeya & Ben Zur","ואני בחסדך בטחתי"
53,"Lady Gaga","Judas"
