
"Tuesday, 8 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"Roei Adam","אבי הטחול"
3,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
4,"SIENNA SPIRO","Great Expectation"
5,"Mika Moshe","מזל שאתה פה"
6,"Tame Impala","Loser"
7,"Osher Cohen","דאון"
8,"Imael Angel","BAD TIMES"
9,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
10,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
11,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
12,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
13,"Bar Tzabari","ילדה מטורפת"
14,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
15,"Agam Buhbut","חמישי"
16,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
17,"Stilla & Ness","מונולוג"
18,"Burak Bulut & Ebru Yaşar","Kehribar"
19,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
20,"Zusha","Don’t Leave Me On My Own"
21,"Eden Golan & ShrekDiMC","סטארבקס"
22,"The Avihu Pinhasov Rhythm Club","משום"
23,"Benaia Barabi","לילה טוב"
24,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
25,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
26,"Steve Lacy","oh yeah?"
27,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
28,"Wxoda","Vibin"
29,"Temper City","Self Aware"
30,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
31,"BLOK3","Sebebi Yar"
32,"Young Buta","שחור לבן"
33,"Shay Hamber","הכל וכלום בבת אחת"
34,"Mauvais Djo","Pilé (Gospel)"
35,"Noam Bettan, Agam Buhbut & גלגלצ","מדאם + המבט בעיניך"
36,"Rafael","Gotta Be Cool (Extended)"
37,"Darco","Baziman (Mixed)"
38,"SABI & MIA BOYKA","Базовый минимум"
39,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
40,"Eden Hason, Nadav Hanzis & גלגלצ","אדם שבור / אהבה ראשונה (מיוחד למצעד הישראלי השנתי תשפ"ו)"
41,"Marco","Niente Regole"
42,"Ella Langley","Be Her"
43,"Bar Tzabari & Shuli Rand","המלך בשדה"
44,"Chappell Roan","Good Luck, Babe!"
45,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
46,"Gipsy Kings","Volare"
47,"Peer Tasi & Hanan Ben Ari","הלוואי"
48,"Aitch","RMB (Ring My Bell)"
49,"Shakira & Burna Boy","Dai Dai"
50,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
51,"STOSLIV & LOVIXX","dont tell your dreams to everybody"
52,"Kimo Sounds","Rise Slow"
53,"Mor","לא קונה אותי"
54,"dolly babe","Pink Blush"
55,"Harry Styles","Sign of the Times"
56,"Omega, Chimbala & B one El Productor De Oro","Se Me Nota (Agarrame)"
