
"Monday, 21 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"Odeya","פאפית"
3,"SIENNA SPIRO","Great Expectation"
4,"Imael Angel","BAD TIMES"
5,"Ofek Adanek","נתתי לך בית"
6,"KAROL G, Judeline & rusowsky","BbY WOW"
7,"Roei Adam","אבי הטחול"
8,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
9,"Mika Moshe","מזל שאתה פה"
10,"Osher Cohen","דאון"
11,"Bar Tzabari","ילדה מטורפת"
12,"Tame Impala","Loser"
13,"Wxoda","Vibin"
14,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
15,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
16,"Zusha","Don’t Leave Me On My Own"
17,"Dudu Tassa & גלגלצ","בית ביפו (Mita Gami & Darco Remix (מיוחד למצעד השנתי תשפ״ו))"
18,"Noa Kirel","לאב סונג"
19,"Noam Bettan, Agam Buhbut & גלגלצ","מדאם + המבט בעיניך"
20,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
21,"Prince & The Revolution","Purple Rain"
22,"Stilla & Ness","מונולוג"
23,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
24,"The Avihu Pinhasov Rhythm Club","משום"
25,"Eviatar Banai","פעימת לב"
26,"Sapir Saban","נהיה בסדר"
27,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
28,"Bar Tzabari & Shuli Rand","המלך בשדה"
29,"BLOK3","Sebebi Yar"
30,"Miri Mesika & גלגלצ","עוף מוזר (מתוך המצעד הישראלי השנתי תשפ''ו)"
31,"Temper City","Self Aware"
32,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
33,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
34,"Peer Tasi & Hanan Ben Ari","הלוואי"
35,"KATSEYE","Animal"
36,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
37,"GENER8ION & Yung Lean","STORM II"
38,"Ben Zur","שבורה מגעגוע"
39,"Osher Cohen","כולם גנבים"
40,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
41,"Idan Amedi & Omer Adam","כאב של לוחמים + בחורים טובים (מתוך חזרות למופע NEXT)"
42,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
43,"Bronski Beat","Smalltown Boy"
44,"Benaia Barabi","לילה טוב"
45,"Steve Lacy","oh yeah?"
46,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
47,"Jaman T","Будь моей"
48,"Rotem Shafran","לחפש אותי באחרים"
49,"Adele","Lovesong"
50,"Eyal Golan","בודד בעיר הגדולה"
51,"ADÉLA","Nicole Kidman"
52,"Mor","לא קונה אותי"
53,"Rafael","Gotta Be Cool (Extended)"
54,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
55,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
56,"Empire Of The Sun","We Are The People"
57,"Odeya & Ben Zur","ואני בחסדך בטחתי"
58,"Young Buta","שחור לבן"
59,"The Tractor's Revenge","אדון הסליחות"
60,"George Michael","Careless Whisper"
61,"Yishay Swissa","בוא תגיד שלום"
62,"Ishay Ribo","סדר העבודה"
63,"Mauvais Djo","Pilé (Gospel)"
64,"Eden Golan & ShrekDiMC","סטארבקס"
65,"Falling In Reverse, Corey Taylor & Serj Tankian","Joseph"
66,"Dave & Tems","Raindance"
67,"TLC","No Scrubs"
68,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
69,"Mazzy Star","Fade into You"
70,"dolly babe","Pink Blush"
71,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
72,"Chris Isaak","Wicked Game"
73,"SABI & MIA BOYKA","Базовый минимум"
74,"Lady Gaga","Judas"
75,"Ravyn Lenae","Love Me Not"
76,"Chicago","Hard to Say I'm Sorry"
77,"Bad Bunny","NUEVAYoL"
78,"Shakira & Burna Boy","Dai Dai"
79,"Dire Straits","Your Latest Trick"
80,"Yard Act","You're Gonna Need A Little Music"
81,"Michael Kiwanuka","Cold Little Heart"
82,"Kimo Sounds","Make It Spectacular"
83,"Ishay Ribo & Motty Steinmetz","נפשי"
84,"Peer Tasi","מה יהיה מחר"
85,"Meir Banai & Eviatar Banai","אבל את"
86,"Lasgo","Something"
87,"גאיה שאקי","אם השם ירצה"
88,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
89,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
90,"Stromae","Alors on danse (feat. Erik Hassle)"
91,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
92,"Rotem Cohen","אני אהיה לך בית"
93,"Infrasomniac","Sunny Night"
94,"Itay Levy","06"
95,"Depeche Mode","Enjoy the Silence"
96,"Meir Banai","לך אלי"
97,"DYSTINCT","YAMA"
98,"Nahide Babashli","Anlasana"
99,"Lola Young","Messy"
100,"Robert Miles","Children"
101,"Kimo Sounds","Rise Slow"
102,"Prod Nifo & BLACKX","Dubi Dubi Dam Dam"
103,"ROSALÍA & Yahritza Y Su Esencia","La Perla"
104,"Odeya","עשר רמות מעליו"
105,"BLOK3","Değiştiremezsin Yazılmışsa"
