
"Thursday, 20 August 2026 [performance over the past 7 days]"
Rank,Artist,Title
70,"Ella Langley","Choosin' Texas"
71,"Mika Moshe","מזל שאתה פה"
72,"El De Las R's","Beretta (De Los Cerros La Escuela)"
73,"Dave & Tems","Raindance"
74,"Eden Ben Zaken","רולקס וקסקט"
75,"DJ Goja, Jason Derulo & Melody","Mi Chico (Jason Derulo x Melody Version Slowed Down)"
76,"The Idan Raichel Project","לילה לא רגוע"
77,"Ofer Levi","מאוהב בגשם"
78,"Cheb Rezki","Ana Al Ghaltane"
79,"Hello Vera, ASLN & תמר ריילי","Aah W Noss (Cover)"
80,"Michael Kiwanuka","Cold Little Heart"
81,"Agam Buhbut","השמפניות והמאניות"
82,"Robert Miles","Children"
83,"Plain White T's","Hey There Delilah"
84,"Sasson Efram Shaulov","נווה הדרים"
85,"Kyla & Crazy Cousinz","Do You Mind (Crazy Cousinz Remix) [Mixed]"
86,"Bruno Mars","Risk It All"
87,"KITSCHKRIEG, Blumengarten & Shirin David","Gut Genug (mit Blumengarten & Shirin David)"
88,"Roei Adam","אהבת חיי"
89,"&ME & Black Coffee","The Rapture Pt. III"
90,"Tame Impala","Dracula"
91,"Ma'ayan Shaked & David Ben Basat","שיר געגוע"
92,"Bubby.m","איזה עולם מקולקל (feat. Mirin) [Live 2026 - Imaginary Tour]"
93,"Prospa & Cloonee","Free Your Mind"
94,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
95,"Samsara & MetaBoy","Tiki Taka"
96,"Hayotzrim","היהלום שלי"
97,"Omer Adam","ריו דה ז'נרו"
98,"RÜFÜS DU SOL","Innerbloom"
99,"Jonas Blue & Malive","Edge of Desire"
100,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
101,"Stromae","Alors on danse (feat. Erik Hassle)"
102,"SIENNA SPIRO","Die On This Hill"
103,"Yuval Dayan","לא להרגיש כלל"
104,"Nirvana","Smells Like Teen Spirit"
105,"Alon Eder","אישה שלי"
106,"KAROL G","Si Antes Te Hubiera Conocido"
107,"Bronski Beat","Smalltown Boy"
108,"BLOK3 & Poizi","Çok Güzel Gülüyorsun"
109,"Alex Warren","FEVER DREAM"
110,"נווה לוי","רק בן אדם"
111,"Gigi Perez","Sailor Song"
112,"George Michael","Careless Whisper"
113,"Noam Bettan","תמיד רציתי עוד"
114,"Itay Levy","08"
115,"TUL8TE","Garee2a Awy - A COLORS SHOW"
116,"HUGEL, LaBritney & Mili","Stay Sexy"
117,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
118,"Taylor Swift","The Fate of Ophelia"
119,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
120,"a-ha","Take On Me"
121,"Young Madz & MC Zudo Boladão","Party Funk"
122,"Coolio & L.V.","Gangsta's Paradise"
123,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
124,"הגר יפת","אתה חי בחלום"
125,"Lucenzo","Danza Kuduro (feat. Don Omar)"
126,"The Animals","House Of The Rising Sun"
127,"Itay Levy & Sasson Efram Shaulov","חוזר אלייך"
128,"Christina Perri","A Thousand Years"
129,"CamelPhat & Volkoder","Unique Moment"
130,"Tears for Fears","Everybody Wants To Rule The World"
131,"Lana Del Rey","Cinnamon Girl"
132,"Sean Paul featuring Keyshia Cole","(When You Gonna) Give It Up to Me [Radio Version] [feat. Keyshia Cole]"
133,"Gala","Freed From Desire"
134,"Post Malone & Swae Lee","Sunflower (Spider-Man: Into the Spider-Verse)"
135,"Harry Styles","Sign of the Times"
136,"M83","Outro"
137,"Mauvais Djo","Maladie"
138,"Nadav Hanzis","אם את כבר הולכת"
139,"Hila Ruach","טבע"
140,"Benson Boone","Beautiful Things"
141,"Mor","סחרחורות"
142,"Ricchi & Poveri","Sarà Perché Ti Amo"
143,"Rihanna","We Found Love (feat. Calvin Harris)"
144,"Mika Karni","מיטשל"
145,"Shuli Rand","לב לבן"
146,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
147,"Justin Bieber","Beauty and a Beat (feat. Nicki Minaj)"
148,"The Temper Trap","Sweet Disposition"
149,"4 Non Blondes","What's Up?"
150,"Olivia Dean","So Easy (To Fall In Love)"
151,"Dudu Tassa","בית ביפו"
152,"Issouf Manem yam","Valhalla Calling"
153,"Sasson Efram Shaulov & Roei Adam","אבי הטחול (מנורה לייב)"
154,"El De Las R's","La Cheyenne"
155,"Kanye West","Runaway (feat. Pusha T)"
156,"Shimza, AR/CO & Kasango","Fire Fire"
157,"Sting","Shape Of My Heart"
158,"Katy Perry","The One That Got Away"
159,"Pixies","Where Is My Mind?"
160,"Fleetwood Mac","The Chain"
161,"MoBlack, Wail Bouri & Emmanuel Jal","Beledna"
162,"Alyssa Grace","bloodstream"
163,"LOVIXX","dont tell your dreams to everybody around"
164,"Edward Maya & Vika Jigulina","Stereo Love"
165,"Bad Bunny","DtMF"
166,"sombr","back to friends"
167,"Chris Stapleton","Cold"
168,"Alon Eder","מילים אהבה ויין"
169,"Riff Cohen","Bye Dubai (باي دُبيّ) [Dalit Rechester Remix]"
170,"DA TI","Take Me There"
171,"Dikla","חתולות רחוב"
172,"BIA","WE ON GO"
173,"The Second Voice","LET ME BE"
174,"JAŸ-Z","03' Bonnie & Clyde (feat. Beyoncé Knowles)"
175,"Gospelize","Maladie (Gospel)"
176,"Dominic Fike","Babydoll"
177,"בן חן","נפלו לי השמיים"
178,"Tove Lo","Talking Body"
179,"Shouse","Sunrise (Adam Ten Remix)"
180,"LENNSKO","panzerknacker.wav"
181,"Teddy Swims","Lose Control"
182,"Phil Collins","In the Air Tonight"
183,"Haddaway","What Is Love (7" Mix)"
184,"The Synaptik & Samrasounds","Weinek Ya Shams"
185,"Ben Zur","אישתי"
186,"Michael Jackson","Don't Stop 'Til You Get Enough"
187,"Jul","C'est la cité (feat. Naps)"
188,"Omri Smadar & Jenia Tarsol","Lose Your Soul (feat. Nona Choir)"
189,"Julio Iglesias","Con la Misma Piedra (With the Same Stone)"
190,"Dire Straits","Sultans of Swing"
191,"Fleetwood Mac","Silver Springs"
192,"Everything But the Girl & Todd Terry","Missing (Todd Terry Club Mix)"
193,"Ravid Plotnik","שמש שזורחת עליי (feat. קותימאן)"
194,"Shazamat","לא אותו דבר"
195,"Kylie Minogue","Can't Get You Out of My Head"
196,"West Code","Alone"
197,"Mor","תאהב אותי ככה"
198,"Cloonee, Prospa & Tristan Henry","Good Girl"
199,"Eden Hason & Meydad Tasa","כולי תפילה"
200,"Iliass","Dauwag (feat. 3robi)"
