
"Friday, 4 September 2026 [performance over the past 7 days]"
Rank,Artist,Title
1,"Imael Angel","Bad Times (Extended Version)"
2,"Ankara Echoes","Beni Al (Ta Ki Seni Görene Kadar) [Afro House Remix]"
3,"Roei Adam","אבי הטחול"
4,"SIENNA SPIRO","Great Expectation"
5,"Tame Impala","Loser"
6,"Mika Moshe","מזל שאתה פה"
7,"HUGEL & SOLTO (FR)","Jamaican (Bam Bam)"
8,"Amir Dadon & גלגלצ","כולם גנבים (חי באולפן גלגלצ)"
9,"Bar Tzabari","ילדה מטורפת"
10,"HUGEL, Imael Angel & Ultra Naté","Movin' To The Sun"
11,"Osher Cohen","דאון"
12,"Stilla & Ness","מונולוג"
13,"Zusha","Don’t Leave Me On My Own"
14,"Dua Lipa","Training Season (Live from the Royal Albert Hall)"
15,"Nadav Hanzis & Ofek Adanek","כבר לא שמח"
16,"Shuli Rand & Jimbo J","מפרש לבן / לב לבן (feat. גלגלצ) [מיוחד למצעד הישראלי השנתי תשפ"ו]"
17,"Elderbrook & Bob Moses","Inner Light"
18,"Agam Buhbut","חמישי"
19,"Eden Golan & ShrekDiMC","סטארבקס"
20,"Itay Levy, Mor & כאן גימל","ילדה מטורפת (מיוחד למצעד השנתי תשפ"ו)"
21,"Omega, Chimbala & B one El Productor De Oro","Se Me Nota (Agarrame)"
22,"The Avihu Pinhasov Rhythm Club","משום"
23,"Eden Hason, Ofek Adanek & Agam Buhbut","איך שהיא רוקדת"
24,"Eden Hason, Nadav Hanzis & גלגלצ","אדם שבור / אהבה ראשונה (מיוחד למצעד הישראלי השנתי תשפ"ו)"
25,"Burak Bulut & Ebru Yaşar","Kehribar"
26,"Liad Meir & Ofek Adanek","יוצאת מן הכלל"
27,"BLOK3","Sebebi Yar"
28,"Steve Lacy","oh yeah?"
29,"Benaia Barabi","לילה טוב"
30,"Full Trunk, Liad Meir & גלגלצ","אין מילים איתך (מיוחד למצעד הישראלי השנתי תשפ"ו)"
31,"Mauvais Djo","Pilé (Gospel)"
32,"Ricchi & Poveri","Sarà Perché Ti Amo"
33,"Shay Hamber","הכל וכלום בבת אחת"
34,"Young Buta","שחור לבן"
35,"עילי בוטנר והלהקה & Elai Botner","עד שאת לא חוזרת"
36,"Rafael","Gotta Be Cool (Extended)"
37,"Temper City","Self Aware"
38,"Ella Langley","Be Her"
39,"Aitch","RMB (Ring My Bell)"
40,"Shakira & Burna Boy","Dai Dai"
41,"Eden Ben Zaken & Sasson Efram Shaulov","מחול"
42,"dolly babe","Pink Blush"
43,"Gipsy Kings","Volare"
44,"Dolly Parton & Kenny Rogers","Islands In the Stream"
45,"ANOTR & 54 Ultra","Talk To You (ft. 54 Ultra)"
46,"Darco","Baziman (Mixed)"
47,"STOSLIV & LOVIXX","dont tell your dreams to everybody"
48,"Chappell Roan","Good Luck, Babe!"
49,"Ella Langley","Choosin' Texas"
50,"Adele","Lovesong"
51,"Peer Tasi & Hanan Ben Ari","הלוואי"
52,"Bad Bunny","NUEVAYoL"
53,"Osher Cohen","כולם גנבים"
54,"Harry Styles","Sign of the Times"
55,"Ishay Levi","At"
56,"Itay Levy","06"
57,"ניר כנען","אוי ואבוי לי"
58,"Odeya","עשר רמות מעליו"
59,"Kimo Sounds","Make It Spectacular"
60,"DYSTINCT","YAMA"
61,"Yoni Rechter","כל עוד (feat. Avner Kaner (אבנר קנר))"
62,"Nadav Hanzis","אביצ'י"
63,"Meir Banai & Eviatar Banai","אבל את"
64,"Mor","לא קונה אותי"
65,"Sister Nancy","Bam Bam"
66,"Ariana Grande","hate that i made you love me"
67,"Pearl Jam","Black (Live)"
68,"Ariana Grande","petal"
69,"Marwan Pablo, Lege-Cy & HatemBas","Shoft Kalam"
70,"Dave & Tems","Raindance"
71,"Lady Gaga & Bradley Cooper","Shallow"
72,"Stromae","Alors on danse (feat. Erik Hassle)"
73,"Empire Of The Sun","We Are The People"
74,"SABI & MIA BOYKA","Базовый минимум (Slow Version)"
75,"DJ.ILHAM","DIGIDI DIGIDI"
76,"HVMBLE","KEEP ME IN PIECES (feat. CHER!SH)"
77,"SABI & MIA BOYKA","Базовый минимум"
78,"KITSCHKRIEG, Blumengarten & Shirin David","Gut Genug (mit Blumengarten & Shirin David)"
79,"Imael Angel","BAD TIMES"
80,"Lola Young","Messy"
81,"Alyssa Grace","bloodstream"
82,"הגר יפת","אתה חי בחלום"
83,"Olivia Dean","So Easy (To Fall In Love)"
84,"SIENNA SPIRO","You Stole The Show"
85,"Kimo Sounds","Rise Slow"
86,"Abagar Quartet","Припевки"
87,"P!nk","Just Give Me a Reason (feat. Nate Ruess)"
88,"TLC","No Scrubs"
89,"Fat Papi & prodshushy","FREAKED OUT"
90,"Noodah05","Around Me"
91,"Don Miguelo","Y Qué Fue?"
92,"Kanye West","Runaway (feat. Pusha T)"
93,"Olivia Rodrigo","stupid song"
94,"Sting","Shape Of My Heart"
95,"&ME & Black Coffee","The Rapture Pt. III"
96,"Dolly Parton","9 To 5"
97,"Ben Zur","אישתי"
98,"Chris Isaak","Wicked Game"
99,"Ravyn Lenae","Love Me Not"
100,"Pet Shop Boys","It's a Sin"
101,"BLOK3 & Poizi","Çok Güzel Gülüyorsun"
102,"Dolly Parton","I Will Always Love You"
103,"Dolly Parton","Jolene"
104,"Bar Tzabari & Shuli Rand","המלך בשדה"
105,"Eden Ben Zaken","רולקס וקסקט"
106,"Sasson Efram Shaulov & Roei Adam","אבי הטחול (מנורה לייב)"
107,"Itay Levy","08"
108,"Itay Levy","שקרים יפים"
109,"Prospa & Cloonee","Free Your Mind"
110,"Miyagi & Эндшпиль","I Got Love (feat. Рем Дигга)"
111,"Olivia Rodrigo","favorite crime"
112,"Mazzy Star","Fade into You"
113,"Cliff Richard","Devil Woman"
114,"DJ Goja, Jason Derulo & Melody","Mi Chico (Jason Derulo x Melody Version)"
115,"Alice In Chains","Would?"
116,"RÜFÜS DU SOL","Innerbloom"
117,"System Of A Down","Chop Suey!"
118,"Marco","Niente Regole"
119,"Roei Adam","אהבת חיי"
120,"Omer Adam","ריו דה ז'נרו"
121,"Mac Miller","Cinderella (feat. Ty Dolla $ign)"
122,"Gala","Freed From Desire"
123,"Fleetwood Mac","The Chain"
124,"Keren Peles & Israel Philharmonic Orchestra","מי היה מאמין (לייב מהיכל התרבות ת״א)"
125,"El De Las R's","Beretta (De Los Cerros La Escuela)"
126,"Dire Straits","Sultans of Swing"
127,"Ma'ayan Shaked & David Ben Basat","שיר געגוע"
128,"Cheb Rezki","Ana Al Ghaltane"
129,"Itay Levy","03"
130,"Nirvana","Smells Like Teen Spirit"
131,"SIENNA SPIRO","Pure"
132,"Hello Vera, ASLN & תמר ריילי","Aah W Noss (Cover)"
133,"Agam Buhbut","מי אנחנו שניפול"
134,"Wxoda","Vibin"
135,"Agam Buhbut","אם זה זה – זה זה"
136,"SIENNA SPIRO","Die On This Hill"
137,"Tame Impala","Dracula"
138,"Bad Bunny","DtMF"
139,"גל ג'ומה & Asulin","זהרה"
140,"Plain White T's","Hey There Delilah"
141,"Lady Gaga & Bruno Mars","Die With A Smile"
